property_type,location,price,features
Decent Mini Flat,"Shipeolu Street, Palmgrove Bus Stop, Onipanu, Shomolu, Lagos","500,000 per annum",1 Bedroom1 Bathroom2 Toilets1 Parking Space Save
"A Luxury 4 Bedrooms Flat + 1 Room Bq, Pool, Gym Etc","Ocean Parade, Banana Island, Ikoyi, Lagos","23,000,000 per annum",4 Bedrooms5 Bathrooms5 Toilets4 Parking Spaces Save
Furnished & Serviced Three Bedroom Flat With Bq,"Oba Yesufu Abiodun Way, Oniru, Victoria Island (VI), Lagos","4,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
2 Bedroom Flat,"Nicon Town, Lekki, Lagos","2,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets Save
Fully Serviced 2 Bedroom Flat,"Ikate Elegushi Behind Conoil Lekki Lagos, Ikate Elegushi, Lekki, Lagos","2,300,000 per annum",2 Bedrooms2 Bathrooms3 Toilets5 Parking Spaces Save
2 Bedroom Flat,"Ikate Elegushi, Lekki, Lagos","1,500,000 per annum",2 Bedrooms2 Bathrooms2 Toilets Save
Nice And Standard Renovated Self Contained,"New Road, Before Chevron, Lekki Expressway, Lekki, Lagos","500,000 per annum",  Save
3 Bedroom Luxury Flat,"Banana Island, Ikoyi, Lagos","10,000,000 per annum",3 Bedrooms Save
3 Bedroom Flat,"Ikate Elegushi, Lekki, Lagos","2,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
Simple And Spacious Miniflat,"Jakande, Lekki, Lagos","650,000 per annum",1 Bedroom1 Bathroom1 Toilet Save
Beautifully Built 1 Bedroom Mini Flat,"Upstream Estate By Addo Roundabout Ajah Lagos, Ado, Ajah, Lagos","650,000 per annum",1 Bedroom1 Bathroom2 Toilets4 Parking Spaces Save
Furnished 3 Bedroom Flat,"Ikoyi, Lagos","10,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
2 Bedroom Flat Tiled & Ensuite Inside An Estate,"Off Station Bus Stop Off Iju Road, Fagba, Agege, Lagos","450,000 per annum",2 Bedrooms2 Bathrooms3 Toilets Save
Nice And Standard Self Con,"New Road, Lekki Expressway, Lekki, Lagos","550,000 per annum",  Save
Brand New Luxury 3 Bedrooms Apartment With B/q,"Off Ligali Ayorinde, Victoria Island Extension, Victoria Island (VI), Lagos","6,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
3 Bedroom Flat,"Ikate Elegushi, Lekki, Lagos","2,600,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
3 Bedroom Penthouse With A Bq,"Ikate Elegushi, Lekki, Lagos","4,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
Luxury 2 Bedroom Flat,"Oniru Estate, Oniru, Victoria Island (VI), Lagos","3,000,000 per annum",2 Bedrooms2 Bathrooms2 Toilets10 Parking Spaces Save
A Lovely And Nice Newly Built 3bedroom Flat All Rooms Ensuite,"Frickfield Street, Costain, Yaba, Lagos","1,200,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Clean 3bedroom Flat,"Joke Ayo, Kola Alagbado, Ijaiye, Lagos","350,000 per annum",3 Bedrooms3 Bathrooms3 Toilets9 Parking Spaces Save
Nice And Spacious Mini Flat Upstairs Available,"Ikate Elegushi, Lekki, Lagos","1,400,000 per annum",1 Bedroom1 Bathroom2 Toilets Save
Tastefully Built Serviced 1 Bedroom Flat,"By Chevron Alternative Road, Chevron Drive, Lekki, Lagos","1,300,000 per annum",1 Bedroom2 Bathrooms2 Toilets Save
Nice And Standard Self Contained With Kitchen,"Agungi, Lekki, Lagos","500,000 per annum",1 Bedroom Save
Newly Built Portable 1 Bedroom Flat,"Chevron Alternative Route, Chevron Drive Lekki Lagos, Lekki, Lagos","700,000 per annum",1 Bedroom1 Bathroom1 Toilet2 Parking Spaces Save
Well Finished 3 Bedroom Flat With A Room Bq,"Eletu Estate Opposite Victory Park Osapa Lekki Lagos, Osapa, Lekki, Lagos","2,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets6 Parking Spaces Save
Fully Serviced 2 Bedroom Flat,"Salem By World Oil, Ilasan, Lekki, Lagos","2,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets7 Parking Spaces Save
A Brand New 3 Bedrooms Flat + 1 Room Bq,"Off Ajose Adeogun Street, Victoria Island (VI), Lagos","5,500,000 per annum",3 Bedrooms4 Bathrooms4 Toilets3 Parking Spaces Save
3 Bedroom Flat,"Chevy View Estate, Chevron Lekki Lagos, Lekki, Lagos","1,800,000 per annum",3 Bedrooms3 Bathrooms4 Toilets6 Parking Spaces Save
A Room Self Contained Fully Serviced And Well Finished,"Eric Moore Road, Off Bode Thomas, Bode Thomas, Surulere, Lagos","800,000 per annum",1 Bedroom1 Bathroom1 Toilet3 Parking Spaces Save
3 Bedroom Luxury Apartments With Bq,"Off Gerrard Road Ikoyi, Old Ikoyi, Ikoyi, Lagos","8,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
3 Bedroom,"Bishop Kola Close, Victoria Island (VI), Lagos","5,000,000 per annum",3 Bedrooms3 Bathrooms3 Toilets5 Parking Spaces Save
Fully Serviced 2/3 Bedroom Flat,"Cluster Estate Off Shoprite Road, Osapa Jakande Lekki Lagos, Jakande, Lekki, Lagos","2,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets9 Parking Spaces Save
Tastefully Finished Fully Serviced 3 Bedroom Flat With Bq,"Ikate Elegushi Behind Compilation Lekki Lagos, Lekki Phase 1, Lekki, Lagos","2,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets9 Parking Spaces Save
Serviced 2 Bedroom Furnished Flat,"Salem Estate Behind Elevation Church By World Oil Lekki Lagos, Ilasan, Lekki, Lagos","2,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets5 Parking Spaces Save
Spacious Brand New 3bedroom Flat With Just Two Tennant,"Sangotedo, Ajah, Lagos","1,500,000 per annum",3 Bedrooms4 Bathrooms4 Toilets6 Parking Spaces Save
Fine Newly Built Mini Flat All Tiles Floor Big Sitting Room,"Itele Ogun State Close To Ayobo, Ipaja, Lagos","120,000 per annum",1 Bedroom1 Bathroom1 Toilet Save
2 Bedrooms Flat,"Unity Estate, Egbeda, Alimosho, Lagos","550,000 per annum",2 Bedrooms2 Bathrooms2 Toilets Save
Executive 3 Bedroom Apartment,"Old Ikoyi, Ikoyi, Lagos","13,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
A Mini Flat,"Adjacent To Mayfair Gardens, Awoyaya, Ibeju Lekki, Lagos","300,000 per annum",1 Bedroom1 Bathroom1 Toilet1 Parking Space Save
Executive 3bedroom Apartment,"Off Adeola Odeku, Victoria Island Extension, Victoria Island (VI), Lagos","10,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Tastefully Finished 3 Bedroom Flat,"Abraham Adesanya Estate, Ajah, Lagos","1,200,000 per annum",3 Bedrooms3 Bathrooms4 Toilets4 Parking Spaces Save
Brand New 3 Bedrooms Flat,"Lekki Phase 1, Lekki, Lagos","3,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Luxury 3 Bedroom Apartment + 1 Maid's Quarter,"Oniru, Victoria Island (VI), Lagos","5,000,000 per annum",3 Bedrooms Save
Exquisite 3 Bedroom + 1 Bedroom Maids Quarter,"Admilarlty House Road, Lekki Phase 1, Lekki, Lagos","4,500,000 per annum",3 Bedrooms4 Bathrooms4 Toilets2 Parking Spaces Save
A Room And Palour Self Contained,"Along Emede Road Odogunyan Ikorodu Lagos, Odogunyan, Ikorodu, Lagos",120 per annum,1 Bedroom1 Bathroom1 Toilet1 Parking Space Save
One Room Self Contained,"Lekki Phase 1, Lekki, Lagos","1,000,000 per annum",1 Bedroom1 Bathroom1 Toilet Save
3 Bedroom Flat + Bq,"Off Femi Pedro, Parkview, Ikoyi, Lagos","5,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save
Furnished 4bedroom Flat With A Room Boy's Quarters,"Adetokunbo Ademola Street, Victoria Island Extension, Victoria Island (VI), Lagos","7,000,000 per annum",4 Bedrooms4 Bathrooms5 Toilets2 Parking Spaces Save
Clean Mini Flat,"Lekki Phase 1, Lekki, Lagos","1,800,000 per annum",1 Bedroom1 Bathroom2 Toilets1 Parking Space Save
New 3 Bedroom Flat,"Osapa, Lekki, Lagos","2,300,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Spacious 3 Bedroom Flat,"Victoria Island Extension, Victoria Island (VI), Lagos","3,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Mini Flat,"Victoria Island Extension, Victoria Island (VI), Lagos","1,800,000 per annum",1 Bedroom1 Bathroom2 Toilets1 Parking Space Save
Newly Renovated 3 Bedroom Flat,"Lekki Phase 1, Lekki, Lagos","2,600,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Luxury 3 Bedroom Flat,"Victoria Island Extension, Victoria Island (VI), Lagos","6,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Luxury 3 Bedroom Flat,"Oniru, Victoria Island (VI), Lagos","5,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
One Room And Parlour,"Immaculate Avenue, Macaulay, Igbogbo, Ikorodu, Lagos","100,000 per annum",1 Bedroom1 Bathroom1 Toilet1 Parking Space Save
Tastefully Finished 3 Bedroom Flat With A Room Bq,"Banana Island, Ikoyi, Lagos","18,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Luxury 3 Bedroom Flat Pent House With A Room Bq,"Banana Island, Ikoyi, Lagos","6,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Fully Serviced 3 Bedroom Flat,"Banana Island, Ikoyi, Lagos","12,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save
3 Bedroom Flat,"Banana Island, Ikoyi, Lagos","9,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
Furnished 3 Bedroom Flat,"By 4 Points Hotel, Oniru, Victoria Island (VI), Lagos","5,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Top Notch 4 Bedroom Penthouse With Bq With Excellent Facilities,"Eko Pearl Tower, Eko Atlantic City, Lagos",all for Price,4 Bedrooms5 Bathrooms5 Toilets4 Parking Spaces Save
4 Bedroom Flat With A Room Servant Quarter,"Off Bourdilon Road, Ikoyi, Lagos","6,000,000 per annum",4 Bedrooms Save
Nicely Finished 2 Bedroom Flat,"Westend Estate Off Lekki County Homes, Ikota Villa Estate, Lekki, Lagos","1,300,000 per annum",2 Bedrooms2 Bathrooms3 Toilets6 Parking Spaces Save
Luxury And Ample 3 Bedroom Apartment With Excellent Facilities,"Residential Zone, Banana Island, Ikoyi, Lagos","13,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Newly Built Spacious 2 Bedroom Flat,"Eletu Estate Opposite Victory Park Estate, Osapa, Lekki, Lagos","2,500,000 per annum",2 Bedrooms2 Bathrooms3 Toilets8 Parking Spaces Save
One Bedroom Self Contained,"Soluyi, Gbagada, Lagos","250,000 per annum",1 Bedroom1 Bathroom1 Toilet110 sqm Total Area Save
Waterfront Luxury 3 Bedroom Flats.,"Bella Vista Towers., Banana Island, Ikoyi, Lagos","15,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save
Lovely 6 Unit Of 3 Bedroom Flat,"Oniru, Victoria Island (VI), Lagos","4,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Luxury 3 Bedroom Furnished Apartment,"B2 Protea Estate, Lbs, Ajah, Lagos","1,000,000 per annum",3 Bedrooms4 Bathrooms4 Toilets5 Parking Spaces Save
Beautifully Built 2 Bedroom Flat,"Eletu Close Opposite Victory Park Off Shoprite Road, Osapa, Lekki, Lagos","1,600,000 per annum",2 Bedrooms2 Bathrooms2 Toilets3 Parking Spaces Save
P O P Finished Room And Parlour,"Morekete Road, Igbogbo, Ikorodu, Lagos","170,000 per annum",1 Bedroom1 Bathroom1 Toilet2 Parking Spaces Save
Luxury 2 Bedroom Apartment + 1 Bq,"Opposite Four Point, Victoria Island Extension, Victoria Island (VI), Lagos","7,000,000 per annum",3 Bedrooms4 Bathrooms4 Toilets3 Parking Spaces Save
Newly Built 2 Bedroom Flat,"Chevron Alternative Route, Chevron Drive Lekki Lagos, Chevy View Estate, Lekki, Lagos","1,700,000 per annum",2 Bedrooms2 Bathrooms3 Toilets4 Parking Spaces Save
Serviced 3 Bedroom Flat For Rent In Chevy View Estate,"Chevy View Estate Chevron Lekki Lagos, Chevy View Estate, Lekki, Lagos","2,500,000 per annum",3 Bedrooms3 Bathrooms3 Toilets8 Parking Spaces Save
Luxury 3 Bedroom Flat ,"Ikate Elegushi, Lekki, Lagos","3,200,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Luxury Service 3 Bedroom Flat,"Lekki Phase 1, Lekki, Lagos","3,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
Luxury 4 Bedroom Flat With A Room Bq And Excellent Facilities,"Old Ikoyi, Ikoyi, Lagos","6,500,000 per annum",4 Bedrooms4 Bathrooms5 Toilets3 Parking Spaces Save
Newly Built Block Of Flats Comprising 3 Units Of 3 Bedroom Flat With A Room E...,"Soluyi, Gbagada, Lagos., Soluyi, Gbagada, Lagos","1,600,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Luxurious And Spacious 2 Bedroom Furnished Apartment,"No 33 West Coat Estates By Lagos Business School, Ajah, Lagos","1,000,000 per annum",2 Bedrooms3 Bathrooms3 Toilets10 Parking Spaces Save
Brand New 3 Bedroom Flat,"Ikota Villa Estate Back Of Mega Chicken Ikota Lekki Lagos, Ikota Villa Estate, Lekki, Lagos","1,800,000 per annum",3 Bedrooms3 Bathrooms4 Toilets4 Parking Spaces Save
New Single Apartment,"Akoka Estate, Akoka, Yaba, Lagos","600,000 per annum",1 Bathroom1 Toilet Save
Fully Service 2 Bedroom Flat,"Oniru, Victoria Island (VI), Lagos","2,500,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
A Single Room Self Contained,"Harmony Estate, Ifako, Gbagada, Lagos","170,000 per annum",1 Bathroom1 Toilet1 Parking Space648 sqm Total Area Save
A Room Self Contained ,"Harmony Estate, Ifako, Gbagada, Lagos","200,000 per annum",1 Bedroom1 Bathroom1 Toilet1 Parking Space Save
Newly Built 3 Bedroom Flat ,"Devine Home Gra, Thomas Estate, Ajah, Lagos","1,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets4 Parking Spaces Save
3 Bedroom Office Space ,"Osapa London, Lekki, Lagos","1,400,000 per annum",3 Bedrooms2 Bathrooms3 Toilets Save
Spacious 3 Bedroom Flat ,"Lekki Phase 1, Lekki, Lagos","3,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
2 Bedroom Flat At Ijegun,"Off Community Road, Ijegun, Ikotun, Lagos","300,000 per annum",2 Bedrooms2 Bathrooms2 Toilets1 Parking Space Save
3 Bedrooms Flat,"Off Iju Road By Fagba, Agege, Lagos","650,000 per annum",3 Bedrooms3 Bathrooms3 Toilets Save
Newly Built 2 Bedroom Flat,"Jibril Estate, By Blenco Supermarket, Canaan Estate, Ajah, Lagos","900,000 per annum",2 Bedrooms2 Bathrooms3 Toilets6 Parking Spaces Save
Clean 3 Bedroom Flat ,"Ikate Elegushi, Lekki, Lagos","3,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
3 Bedroom Flats With A Room Bq,"Awuse, Opebi, Ikeja, Lagos","2,000,000 per annum",3 Bedrooms3 Bathrooms3 Toilets20 Parking Spaces Save
Luxury And Fully Service 3 Bedroom Flat ,"Oniru, Victoria Island (VI), Lagos","4,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Well Furnished Luxury 3 Bedroom Apartment,"Old Ikoyi, Ikoyi, Lagos","6,500,000 per annum",3 Bedrooms3 Bathrooms3 Toilets3 Parking Spaces Save
Brand New And Well Finished 3 Bedroom Apartments,"Anthony, Maryland, Lagos","1,800,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Newly Built 14 Unit Of 3 Bedroom Flat,"Lekki Phase 1, Lekki, Lagos","3,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Newly Built 1 Bedroom Flat In A Service Estate,"Paradise Estate 2 By Chevron Alternative Route, Chevron Drive Lekki Lagos, Chevy View Estate, Lekki, Lagos","1,500,000 per annum",1 Bedroom2 Bathrooms2 Toilets3 Parking Spaces Save
 Fully Service 3 Bedroom Flat ,"Lekki Phase 1, Lekki, Lagos","2,700,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Lovely Brand New 3 Bedroom Apartment,"Alagomeji, Yaba, Lagos","1,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Beautifully Built 1 Bedroom Flat(mini Flat),"Cana Street Beside Blenco Supermarket Sangotedo Ajah Lekki Lagos, Ajah, Lagos","700,000 per annum",1 Bedroom2 Bathrooms2 Toilets2 Parking Spaces Save
Exquisite 3 Bedroom Apartment With Excellent Facilities,"Eko Pearl Tower, Eko Atlantic City, Lagos","55,000 per annum 
approx. ₦21,959,436",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Luxury 3 Bedroom Apartment With Excellent Facilities,"Off Bourdillon Road, Old Ikoyi, Ikoyi, Lagos","11,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Luxury 3 Bedroom Apartment With Excellent Facilities,"Off Adeola Odeku, Victoria Island (VI), Lagos","14,000,000 per annum",3 Bedrooms4 Bathrooms5 Toilets3 Parking Spaces Save
Newly Renovated 3 Bedroom Flat,"Osapa, Lekki, Lagos","2,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
Exquisite 3 Bedroom Flat + 1 Room Bq Each,"Millenium Estate, Oke Alo, Gbagada, Lagos","2,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
(upstairs) Room And Parlor Self Contained,"Unity Estate, Igbogbo, Ikorodu, Lagos","150,000 per annum",1 Bedroom1 Bathroom1 Toilet1 Parking Space Save
Luxury 4 Bedroom Pent-floor Maisonette With Excellent Facilities,"Along Alternative Way, Oniru, Victoria Island (VI), Lagos","6,000,000 per annum",4 Bedrooms4 Bathrooms5 Toilets3 Parking Spaces Save
Newly Built 1 Bedroom Flat,"Beside Blenco Supermarket, Sangotedo, Ajah, Lagos","700,000 per annum",1 Bedroom1 Bathroom2 Toilets8 Parking Spaces Save
Well Finished 3 Bedroom Flat ,"Idowu Estate, Okeira, Off Addo Road, Ado, Ajah, Lagos","800,000 per annum",3 Bedrooms3 Bathrooms4 Toilets5 Parking Spaces Save
Executive Mini Flat,"Off Akerele, Surulere, Lagos","600,000 per annum",1 Bedroom2 Bathrooms2 Toilets1 Parking Space Save
"Lovely, Spacious And Serviced 2 Bedrooms Apartments","Adeniran Ogunsanya, Surulere, Lagos","2,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
Newly Built 2 Bedroom Flat,"Devine Home Gra, Thomas Estate Ajah Lekki Lagos, Thomas Estate, Ajah, Lagos","900,000 per annum",2 Bedrooms2 Bathrooms3 Toilets4 Parking Spaces Save
Lovely Serviced 2 Bedroom Flat,"Paradise Estate Opposite Ebano Supermarket By Chevron Drive Lekki Lagos, Chevy View Estate, Lekki, Lagos","2,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
Luxury Service 3 Bedrooms Flat @ Oniru Estate With 24/7 Power,"Off Palace Road, Oniru, Victoria Island (VI), Lagos","3,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Exquisite 3 Bedroom Flat,"Lekki Phase 1, Lekki, Lagos","8,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Affordable Room And Parlour Self Con ,"Immaculate Avenue, Igbogbo, Ikorodu, Lagos","100,000 per annum",1 Bedroom1 Bathroom1 Toilet1 Parking Space Save
Luxury Service 3 Bedroom Flat ,"Lekki Phase 1, Lekki, Lagos","6,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Luxury 4 Bedroom Apartment With Excellent Facilities,"Off Kingsway, Old Ikoyi, Ikoyi, Lagos","15,000,000 per annum",4 Bedrooms4 Bathrooms5 Toilets3 Parking Spaces Save
4 Bedroom Luxury Apartment With Excellent Facilities,"Off Kingsway, Old Ikoyi, Ikoyi, Lagos","10,000,000 per annum",4 Bedrooms4 Bathrooms5 Toilets3 Parking Spaces Save
Nicely Finished 2 Bedroom Self Service Luxury Apartment,"Off Ajayi Bembe, Parkview Estate, Ikoyi, Lagos","5,000,000 per annum",2 Bedrooms3 Bathrooms3 Toilets2 Parking Spaces Save
3 Bedroom Apartment With Generous Balconies And Excellent Facilities,"Off Bourdillon Road, Old Ikoyi, Ikoyi, Lagos","12,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
4 Bedroom Apartment With Generous Balconies And Excellent Facilities,"Off Bourdillon Road, Old Ikoyi, Ikoyi, Lagos","14,000,000 per annum",4 Bedrooms4 Bathrooms5 Toilets3 Parking Spaces Save
Strikingly Beautiful 2 Bedroom Luxury Apartment,"Oniru, Victoria Island (VI), Lagos","3,100,000 per annum",2 Bedrooms3 Bathrooms3 Toilets2 Parking Spaces Save
Lovely Finished 3 Bedroom Flat ,"Bera Estate By Chevron Drive, Chevron, Lekki, Lagos","1,800,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
Luxury 2 Bedroom Flat,"Oniru, Victoria Island (VI), Lagos","6,500,000 per annum",2 Bedrooms3 Bathrooms3 Toilets2 Parking Spaces Save
Luxury 3 Bedroom Flat ,"Oniru, Victoria Island (VI), Lagos","3,500,000 per annum",3 Bedrooms4 sqm Total Area3 sqm Covered Area Save
Luxury 3 Bedrooms Apartment With State-of-the-art Facilities,"Off Onikoyi Road, Old Ikoyi, Ikoyi, Lagos","15,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Luxury 3 Bedroom Apartment With Excellent Fittings,"Banana Island, Ikoyi, Lagos","7,000,000 per annum",3 Bedrooms4 Bathrooms4 Toilets3 Parking Spaces Save
A Room Self Con,"Faith Avenue, Macaulay Bus Stop, Along Bayeku Road, Igbogbo, Ikorodu, Lagos","80,000 per annum",1 Bedroom1 Bathroom1 Toilet1 Parking Space Save
Serviced 3 Bedroom,"Off First Bank Street, Oniru, Victoria Island (VI), Lagos","3,600,000 per annum",3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save
Fully Furnished 3 Bedroom Pent-floor Apartment With Study Room,"Off Bourdillon Road, Old Ikoyi, Ikoyi, Lagos","14,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save
Fully Furnished 3 Bedroom Apartment With Excellent Facilities,"Off Bourdillon Road, Old Ikoyi, Ikoyi, Lagos","11,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Well Finished 2 Bedroom Service Flat,"Lekki, Lagos","1,700,000 per annum",2 Bedrooms2 Bathrooms3 Toilets Save
Fully Furnished And Serviced 2 Bedroom Apartment,"Banana Island, Ikoyi, Lagos","18,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
Fully Furnished And Serviced 3 Bedroom Apartment,"Banana Island, Ikoyi, Lagos","23,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Brand New And Lovely 3 Bedroom Apartment ,"Palmgrove, Ilupeju, Lagos","1,200,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Well Maintained Serviced 2 Bedroom Apartment ,"Saint Agnes, Yaba, Lagos","1,500,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
Corporate Lease 8 Units Of Furnished 3 Bedroom Apartments + Bq,"Millennium Estate, Gbagada, Lagos","40,000,000 per annum",3 Bedrooms3 Bathrooms3 Toilets2 Parking Spaces Save
Fully Furnished Luxury 3 Bedroom Apartment With Excellent Facilities,"Off Glover Road, Old Ikoyi, Ikoyi, Lagos","11,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
